Version,File Name,Size(LOC), LOC_Touched,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,Buggy
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,0,4,2,0,0,0,180,168,45,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,260,138,5,2,64,88,0,260,195,52,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,551,168,27,4,78,62,0,371,447,13,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40,0,1,1,0,0,0,40,40,40,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,361,112,12,3,106,63,0,361,124,30,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,388,27,6,3,9,11,0,388,211,64,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollector.java,51,51,1,1,51,51,0,51,51,51,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,577,176,14,3,72,67,0,557,368,39,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,0,1,1,0,0,0,32,32,32,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,66,0,2,1,0,0,0,63,66,31,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,188,81,12,3,19,13,0,168,181,14,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,582,54,9,3,12,10,0,576,544,64,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,158,4,4,1,0,2,0,158,157,39,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,50,4,16,4,4,4,0,-495,533,-31,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,928,274,16,3,145,93,0,923,707,57,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,62,4,11,3,0,2,0,-61,100,-6,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,87,9,3,1,0,4,0,61,88,20,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,52,2,3,1,0,1,0,51,52,17,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDirsManager.java,268,272,3,2,268,240,0,268,240,89,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,163,0,5,3,0,0,0,163,151,32,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,109,20,2,1,18,19,0,109,91,54,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyEntryLogger.java,58,60,2,1,58,58,0,58,58,29,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyFileInfo.java,44,44,1,1,44,44,0,44,44,44,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java,108,108,1,1,108,108,0,108,108,108,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,139,0,6,3,0,0,0,137,124,22,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,326,44,9,3,44,11,0,326,249,36,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,314,146,10,4,100,111,0,312,202,31,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,648,176,25,4,85,73,0,588,405,23,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,778,662,23,3,154,101,0,525,637,22,YES
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,90,51,6,3,25,25,0,90,61,15,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,273,297,4,1,277,274,0,269,271,67,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,137,45,14,4,3,9,1,102,155,7,NO
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,79,28,7,4,2,6,1,75,76,10,NO
