Dataset,#Training Release,%Training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area, Kappa
OPENJPA,6,0.781,0.032,0.031,NaiveBayes,1,0,23,77,2006,44,0.23,0.34,0.76,0.25
OPENJPA,6,0.781,0.032,0.031,RandomForest,1,0,28,4,2079,39,0.88,0.42,0.86,0.56
OPENJPA,6,0.781,0.032,0.031,IBk,1,0,34,15,2068,33,0.69,0.51,0.83,0.58
OPENJPA,6,0.781,0.032,0.031,NaiveBayes,2,0,27,109,1974,40,0.20,0.40,0.76,0.23
OPENJPA,6,0.781,0.032,0.031,RandomForest,2,0,33,14,2069,34,0.70,0.49,0.89,0.57
OPENJPA,6,0.781,0.032,0.031,IBk,2,0,36,41,2042,31,0.47,0.54,0.81,0.48
OPENJPA,6,0.781,0.032,0.031,NaiveBayes,3,0,27,107,1976,40,0.20,0.40,0.74,0.24
OPENJPA,6,0.781,0.032,0.031,RandomForest,3,0,52,281,1802,15,0.16,0.78,0.90,0.22
OPENJPA,6,0.781,0.032,0.031,IBk,3,0,50,403,1680,17,0.11,0.75,0.78,0.15
OPENJPA,6,0.781,0.032,0.031,NaiveBayes,4,0,24,13,2070,43,0.65,0.36,0.82,0.45
OPENJPA,6,0.781,0.032,0.031,RandomForest,4,0,24,13,2070,43,0.65,0.36,0.82,0.45
OPENJPA,6,0.781,0.032,0.031,IBk,4,0,24,13,2070,43,0.65,0.36,0.82,0.45
OPENJPA,6,0.781,0.032,0.031,NaiveBayes,1,1,25,70,2013,42,0.26,0.37,0.75,0.28
OPENJPA,6,0.781,0.032,0.031,RandomForest,1,1,36,7,2076,31,0.84,0.54,0.89,0.65
OPENJPA,6,0.781,0.032,0.031,IBk,1,1,35,15,2068,32,0.70,0.52,0.92,0.59
OPENJPA,6,0.781,0.032,0.031,NaiveBayes,2,1,30,113,1970,37,0.21,0.45,0.74,0.25
OPENJPA,6,0.781,0.032,0.031,RandomForest,2,1,39,57,2026,28,0.41,0.58,0.86,0.46
OPENJPA,6,0.781,0.032,0.031,IBk,2,1,40,69,2014,27,0.37,0.60,0.89,0.43
OPENJPA,6,0.781,0.032,0.031,NaiveBayes,3,1,34,126,1957,33,0.21,0.51,0.74,0.27
OPENJPA,6,0.781,0.032,0.031,RandomForest,3,1,51,375,1708,16,0.12,0.76,0.87,0.16
